Project Name,Package Name,Type Name,Method Name,Code Smell
.,org.activiti.examples,DemoApplication,run,Magic Number
.,org.activiti.examples,DemoApplication,processText,Long Statement
.,org.activiti.examples,DemoApplication,processText,Magic Number
.,org.activiti.examples,DemoApplication,processText,Magic Number
.,org.activiti.examples,DemoApplication,processCompletedListener,Long Statement
.,org.activiti.examples,DemoApplication,pickRandomString,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Magic Number
.,org.activiti.examples,DemoApplication,run,Magic Number
.,org.activiti.examples,DemoApplication,processText,Long Statement
.,org.activiti.examples,DemoApplication,processText,Magic Number
.,org.activiti.examples,DemoApplication,processText,Magic Number
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,Long Statement
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,Magic Number
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,Magic Number
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,Magic Number
.,org.activiti.examples,DemoApplication,pickRandomString,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Magic Number
.,org.activiti.examples,DemoApplication,processFile,Long Statement
.,org.activiti.examples,DemoApplication,getProcessDefinition,Magic Number
.,org.activiti.examples,DemoApplicationConfiguration,userDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,userDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,userDetailsService,Magic Number
.,org.activiti.examples,DemoApplicationConfiguration,userDetailsService,Magic Number
.,org.activiti.examples,DemoApplication,run,Long Statement
.,org.activiti.examples,DemoApplication,run,Magic Number
.,org.activiti.examples,DemoApplication,run,Magic Number
.,org.activiti.examples,DemoApplication,run,Magic Number
.,org.activiti.examples,DemoApplication,taskAssignedListener,Long Statement
.,org.activiti.examples,DemoApplication,taskCompletedListener,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Magic Number
.,org.activiti.examples,DemoApplication,run,Magic Number
.,org.activiti.examples,DemoApplication,processText,Long Statement
.,org.activiti.examples,DemoApplication,processText,Magic Number
.,org.activiti.examples,DemoApplication,processText,Magic Number
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,Long Statement
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,Magic Number
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,Magic Number
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,Magic Number
.,org.activiti.examples,DemoApplication,pickRandomString,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Magic Number
.,org.activiti.examples,DemoApplication,listCompletedProcesses,Long Statement
.,org.activiti.examples,DemoApplication,listAllCreatedVariables,Long Statement
.,org.activiti.examples,DemoApplication,completeAvailableTasks,Magic Number
.,org.activiti.examples,DemoApplication,completeAvailableTasks,Magic Number
.,org.activiti.examples,DemoApplication,listTaskVariables,Long Statement
.,org.activiti.examples,DemoApplication,listProcessVariables,Long Statement
.,org.activiti.examples,DemoApplication,listProcessVariables,Long Statement
.,org.activiti.examples,DemoApplication,startProcess,Long Statement
.,org.activiti.examples,DemoApplication,listAvailableProcesses,Magic Number
.,org.activiti.examples,DemoApplication,getConnector,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Long Statement
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,Magic Number
.,org.activiti.examples,DemoApplication,run,Magic Number
.,org.activiti.examples,DemoApplication,processFile,Long Statement
