Project Name,Package Name,Type Name,Code Smell
.,org.activiti.examples,DemoApplicationTests,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationConfiguration,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationTests,Unutilized Abstraction
.,org.activiti.examples,SecurityUtil,Unutilized Abstraction
.,org.activiti.examples,DemoApplication,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationConfiguration,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationTests,Unutilized Abstraction
.,org.activiti.examples,DemoApplication,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationConfiguration,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationTests,Unutilized Abstraction
.,org.activiti.examples,SecurityUtil,Unutilized Abstraction
.,org.activiti.examples,DemoApplication,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationConfiguration,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationTests,Unutilized Abstraction
.,org.activiti.examples,SecurityUtil,Unutilized Abstraction
.,org.activiti.examples,DemoApplication,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationConfiguration,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationTests,Unutilized Abstraction
.,org.activiti.examples,SecurityUtil,Unutilized Abstraction
.,org.activiti.examples,DemoApplication,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationConfiguration,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationTests,Unutilized Abstraction
.,org.activiti.examples,SecurityUtil,Unutilized Abstraction
.,org.activiti.examples,DemoApplication,Unutilized Abstraction
.,org.activiti.examples,DemoApplicationConfiguration,Unutilized Abstraction
.,org.activiti.core.common.model.connector,VariableDefinition,Unutilized Abstraction
.,org.activiti.core.common.model.connector,ActionDefinition,Unutilized Abstraction
.,org.activiti.core.el.juel.misc,BooleanOperationsTest,Unutilized Abstraction
.,org.activiti.core.el.juel.misc,NumberOperationsTest,Unutilized Abstraction
.,org.activiti.core.el.juel.misc,MessagesTest,Unutilized Abstraction
.,org.activiti.core.el.juel.misc,TypeConverterImplTest,Unutilized Abstraction
.,org.activiti.core.el.juel.misc,TypeConverterImplTest,Insufficient Modularization
.,org.activiti.core.el.juel.misc,DateEditor,Unutilized Abstraction
.,org.activiti.core.el.juel.misc,TypeConverter,Deficient Encapsulation
.,org.activiti.core.el.juel.tree.impl,ScannerTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl,CacheTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl,Parser,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl,Parser,Insufficient Modularization
.,org.activiti.core.el.juel.tree.impl,ParseException,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl,ScanException,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl,ExtensionToken,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl,ExtensionToken,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstEvalTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstNestedTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstNullTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstCompositeTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstBracketTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstIdentifierTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,TestMethodExpression,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstUnaryTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstBooleanTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstNumberTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstChoiceTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstDotTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstStringTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstMethodTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstBinaryTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstTextTest,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstNumber,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstNumber,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstNull,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstNull,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstBoolean,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstBoolean,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstRightValue,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstRightValue,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstIdentifier,Insufficient Modularization
.,org.activiti.core.el.juel.tree.impl.ast,AstDot,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstText,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstLiteral,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstLiteral,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstNested,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstNested,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstComposite,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstComposite,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstFunction,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstFunction,Broken Hierarchy
.,org.activiti.core.el.juel.tree.impl.ast,AstMethod,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstBinary,Unutilized Abstraction
.,org.activiti.core.el.juel.tree.impl.ast,AstBinary,Deficient Encapsulation
