Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
.,org.activiti.examples,DemoApplicationTests,contextLoads,7,1,0
.,org.activiti.examples,SecurityUtil,logInAs,31,2,1
.,org.activiti.examples,SecurityUtil,getAuthorities,3,1,0
.,org.activiti.examples,SecurityUtil,getCredentials,3,1,0
.,org.activiti.examples,SecurityUtil,getDetails,3,1,0
.,org.activiti.examples,SecurityUtil,getPrincipal,3,1,0
.,org.activiti.examples,SecurityUtil,isAuthenticated,3,1,0
.,org.activiti.examples,SecurityUtil,setAuthenticated,2,1,1
.,org.activiti.examples,SecurityUtil,getName,3,1,0
.,org.activiti.examples,DemoApplication,main,3,1,1
.,org.activiti.examples,DemoApplication,run,8,2,1
.,org.activiti.examples,DemoApplication,processText,8,1,0
.,org.activiti.examples,DemoApplication,processTextConnector,16,2,0
.,org.activiti.examples,DemoApplication,tagTextConnector,10,1,0
.,org.activiti.examples,DemoApplication,discardTextConnector,10,1,0
.,org.activiti.examples,DemoApplication,processCompletedListener,3,1,0
.,org.activiti.examples,DemoApplication,pickRandomString,4,1,0
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,10,2,0
.,org.activiti.examples,DemoApplicationConfiguration,passwordEncoder,3,1,0
.,org.activiti.examples,DemoApplicationTests,contextLoads,2,1,0
.,org.activiti.examples,SecurityUtil,logInAs,31,2,1
.,org.activiti.examples,SecurityUtil,getAuthorities,3,1,0
.,org.activiti.examples,SecurityUtil,getCredentials,3,1,0
.,org.activiti.examples,SecurityUtil,getDetails,3,1,0
.,org.activiti.examples,SecurityUtil,getPrincipal,3,1,0
.,org.activiti.examples,SecurityUtil,isAuthenticated,3,1,0
.,org.activiti.examples,SecurityUtil,setAuthenticated,2,1,1
.,org.activiti.examples,SecurityUtil,getName,3,1,0
.,org.activiti.examples,DemoApplication,DemoApplication,6,1,4
.,org.activiti.examples,DemoApplication,main,3,1,1
.,org.activiti.examples,DemoApplication,run,8,2,1
.,org.activiti.examples,DemoApplication,processText,8,1,0
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,28,5,0
.,org.activiti.examples,DemoApplication,tagTextConnector,10,1,0
.,org.activiti.examples,DemoApplication,discardTextConnector,10,1,0
.,org.activiti.examples,DemoApplication,pickRandomString,6,1,0
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,10,2,0
.,org.activiti.examples,DemoApplicationConfiguration,passwordEncoder,3,1,0
.,org.activiti.examples,DemoApplicationTests,contextLoads,2,1,0
.,org.activiti.examples,DemoApplication,DemoApplication,3,1,1
.,org.activiti.examples,DemoApplication,main,3,1,1
.,org.activiti.examples,DemoApplication,processFile,6,1,1
.,org.activiti.examples,DemoApplication,getProcessDefinition,3,1,0
.,org.activiti.examples,DemoApplication,run,2,1,1
.,org.activiti.examples,DemoApplication,processTextConnector,14,2,0
.,org.activiti.examples,DemoApplication,tagTextConnector,10,1,0
.,org.activiti.examples,DemoApplication,discardTextConnector,10,1,0
.,org.activiti.examples,DemoApplicationConfiguration,userDetailsService,10,2,0
.,org.activiti.examples,DemoApplicationConfiguration,filterChain,3,1,1
.,org.activiti.examples,DemoApplicationTests,contextLoads,2,1,0
.,org.activiti.examples,SecurityUtil,logInAs,31,2,1
.,org.activiti.examples,SecurityUtil,getAuthorities,3,1,0
.,org.activiti.examples,SecurityUtil,getCredentials,3,1,0
.,org.activiti.examples,SecurityUtil,getDetails,3,1,0
.,org.activiti.examples,SecurityUtil,getPrincipal,3,1,0
.,org.activiti.examples,SecurityUtil,isAuthenticated,3,1,0
.,org.activiti.examples,SecurityUtil,setAuthenticated,2,1,1
.,org.activiti.examples,SecurityUtil,getName,3,1,0
.,org.activiti.examples,DemoApplication,main,3,1,1
.,org.activiti.examples,DemoApplication,run,18,1,1
.,org.activiti.examples,DemoApplication,taskAssignedListener,3,1,0
.,org.activiti.examples,DemoApplication,taskCompletedListener,3,1,0
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,10,2,0
.,org.activiti.examples,DemoApplicationConfiguration,passwordEncoder,3,1,0
.,org.activiti.examples,DemoApplicationTests,contextLoads,2,1,0
.,org.activiti.examples,SecurityUtil,logInAs,31,2,1
.,org.activiti.examples,SecurityUtil,getAuthorities,3,1,0
.,org.activiti.examples,SecurityUtil,getCredentials,3,1,0
.,org.activiti.examples,SecurityUtil,getDetails,3,1,0
.,org.activiti.examples,SecurityUtil,getPrincipal,3,1,0
.,org.activiti.examples,SecurityUtil,isAuthenticated,3,1,0
.,org.activiti.examples,SecurityUtil,setAuthenticated,2,1,1
.,org.activiti.examples,SecurityUtil,getName,3,1,0
.,org.activiti.examples,DemoApplication,DemoApplication,5,1,3
.,org.activiti.examples,DemoApplication,main,3,1,1
.,org.activiti.examples,DemoApplication,run,8,2,1
.,org.activiti.examples,DemoApplication,processText,8,1,0
.,org.activiti.examples,DemoApplication,checkAndWorkOnTasksWhenAvailable,28,5,0
.,org.activiti.examples,DemoApplication,tagTextConnector,10,1,0
.,org.activiti.examples,DemoApplication,discardTextConnector,10,1,0
.,org.activiti.examples,DemoApplication,pickRandomString,4,1,0
.,org.activiti.examples,Content,Content,8,2,3
.,org.activiti.examples,Content,getBody,3,1,0
.,org.activiti.examples,Content,setBody,3,1,1
.,org.activiti.examples,Content,isApproved,3,1,0
.,org.activiti.examples,Content,setApproved,3,1,1
.,org.activiti.examples,Content,getTags,3,1,0
.,org.activiti.examples,Content,setTags,3,1,1
.,org.activiti.examples,Content,toString,3,1,0
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,10,2,0
.,org.activiti.examples,DemoApplicationConfiguration,passwordEncoder,3,1,0
.,org.activiti.examples,DemoApplicationTests,contextLoads,5,1,0
.,org.activiti.examples,SecurityUtil,logInAs,31,2,1
.,org.activiti.examples,SecurityUtil,getAuthorities,3,1,0
.,org.activiti.examples,SecurityUtil,getCredentials,3,1,0
.,org.activiti.examples,SecurityUtil,getDetails,3,1,0
.,org.activiti.examples,SecurityUtil,getPrincipal,3,1,0
.,org.activiti.examples,SecurityUtil,isAuthenticated,3,1,0
.,org.activiti.examples,SecurityUtil,setAuthenticated,2,1,1
.,org.activiti.examples,SecurityUtil,getName,3,1,0
.,org.activiti.examples,DemoApplication,DemoApplication,5,1,3
.,org.activiti.examples,DemoApplication,main,3,1,1
.,org.activiti.examples,DemoApplication,commandLineRunner,12,1,0
.,org.activiti.examples,DemoApplication,listCompletedProcesses,4,1,0
.,org.activiti.examples,DemoApplication,listAllCreatedVariables,4,1,0
.,org.activiti.examples,DemoApplication,completeAvailableTasks,9,1,0
.,org.activiti.examples,DemoApplication,listTaskVariables,4,1,1
.,org.activiti.examples,DemoApplication,listProcessVariables,5,1,1
.,org.activiti.examples,DemoApplication,startProcess,5,1,0
.,org.activiti.examples,DemoApplication,listAvailableProcesses,7,2,0
.,org.activiti.examples,DemoApplication,getMovieDesc,3,1,0
.,org.activiti.examples,DemoApplication,getMovieDescUUIDs,3,1,0
.,org.activiti.examples,DemoApplication,getConnector,9,1,0
.,org.activiti.examples,DemoApplication,variableCreatedEventListener,3,1,0
.,org.activiti.examples,DemoApplication,processCompletedEventListener,3,1,0
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,10,2,0
.,org.activiti.examples,DemoApplicationConfiguration,passwordEncoder,3,1,0
.,org.activiti.examples,DemoApplicationTests,contextLoads,2,1,0
.,org.activiti.examples,SecurityUtil,logInAs,30,2,1
.,org.activiti.examples,SecurityUtil,getAuthorities,3,1,0
.,org.activiti.examples,SecurityUtil,getCredentials,3,1,0
.,org.activiti.examples,SecurityUtil,getDetails,3,1,0
.,org.activiti.examples,SecurityUtil,getPrincipal,3,1,0
.,org.activiti.examples,SecurityUtil,isAuthenticated,3,1,0
.,org.activiti.examples,SecurityUtil,setAuthenticated,2,1,1
.,org.activiti.examples,SecurityUtil,getName,3,1,0
.,org.activiti.examples,DemoApplication,DemoApplication,4,1,2
.,org.activiti.examples,DemoApplication,main,3,1,1
.,org.activiti.examples,DemoApplication,run,8,2,1
.,org.activiti.examples,DemoApplication,fileChannel,3,1,0
.,org.activiti.examples,DemoApplication,fileReadingMessageSource,6,1,0
.,org.activiti.examples,DemoApplication,processFile,12,1,1
.,org.activiti.examples,DemoApplication,processTextConnector,16,2,0
.,org.activiti.examples,DemoApplication,tagTextConnector,10,1,0
.,org.activiti.examples,DemoApplication,discardTextConnector,10,1,0
.,org.activiti.examples,DemoApplicationConfiguration,myUserDetailsService,10,2,0
.,org.activiti.examples,DemoApplicationConfiguration,passwordEncoder,3,1,0
.,org.activiti.core.common.model.connector,VariableDefinition,getId,3,1,0
.,org.activiti.core.common.model.connector,VariableDefinition,getName,3,1,0
.,org.activiti.core.common.model.connector,VariableDefinition,getDescription,3,1,0
.,org.activiti.core.common.model.connector,VariableDefinition,getType,3,1,0
.,org.activiti.core.common.model.connector,VariableDefinition,isRequired,3,1,0
.,org.activiti.core.common.model.connector,VariableDefinition,getDisplay,3,1,0
.,org.activiti.core.common.model.connector,VariableDefinition,getDisplayName,3,1,0
.,org.activiti.core.common.model.connector,VariableDefinition,setId,3,1,1
.,org.activiti.core.common.model.connector,VariableDefinition,setName,3,1,1
.,org.activiti.core.common.model.connector,VariableDefinition,setDescription,3,1,1
.,org.activiti.core.common.model.connector,VariableDefinition,setType,3,1,1
.,org.activiti.core.common.model.connector,VariableDefinition,setRequired,3,1,1
.,org.activiti.core.common.model.connector,VariableDefinition,setDisplay,3,1,1
.,org.activiti.core.common.model.connector,VariableDefinition,setDisplayName,3,1,1
.,org.activiti.core.common.model.connector,VariableDefinition,isAnalytics,3,1,0
.,org.activiti.core.common.model.connector,VariableDefinition,setAnalytics,3,1,1
.,org.activiti.core.common.model.connector,ActionDefinition,getId,3,1,0
.,org.activiti.core.common.model.connector,ActionDefinition,getName,3,1,0
.,org.activiti.core.common.model.connector,ActionDefinition,getDescription,3,1,0
.,org.activiti.core.common.model.connector,ActionDefinition,getInputs,3,1,0
.,org.activiti.core.common.model.connector,ActionDefinition,getOutputs,3,1,0
.,org.activiti.core.common.model.connector,ActionDefinition,setId,3,1,1
.,org.activiti.core.common.model.connector,ActionDefinition,setName,3,1,1
.,org.activiti.core.common.model.connector,ActionDefinition,setDescription,3,1,1
.,org.activiti.core.common.model.connector,ActionDefinition,setInputs,3,1,1
.,org.activiti.core.common.model.connector,ActionDefinition,setOutputs,3,1,1
.,org.activiti.core.common.model.connector,ConnectorDefinition,getId,3,1,0
.,org.activiti.core.common.model.connector,ConnectorDefinition,getName,3,1,0
.,org.activiti.core.common.model.connector,ConnectorDefinition,getDescription,3,1,0
.,org.activiti.core.common.model.connector,ConnectorDefinition,getActions,3,1,0
.,org.activiti.core.common.model.connector,ConnectorDefinition,setId,3,1,1
.,org.activiti.core.common.model.connector,ConnectorDefinition,setName,3,1,1
